SERIES_CODE,שם סדרה,FREQ,תדירות,UNIT_MEASURE,יחידות מידה,DATA_ITEM,פריט,BALANCE_SHEET_SECTION,סיווג מאזני,DATA_TYPE,סוג נתון,COUNTERPART_SECTOR,מגזר נגדי,DATA_SOURCE,מקור נתונים,TIME_COLLECT,אופן חישוב בתקופת זמן,CONF_STATUS,סיווג סודיות,UNIT_MULT,מכפיל יחידות,TIME_PERIOD,OBS_VALUE,RELEASE_STATUS,שחרור תצפית
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1999-09,21944.7879328,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1999-10,21781.09515441,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1999-11,21385.7650038,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1999-12,22605.1287223,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2000-01,22090.37904768,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2000-02,22063.01766242,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2000-03,22765.08661083,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2000-04,22301.97896218,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2000-05,22264.06141345,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2000-06,22273.72045443,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2000-07,22155.25787907,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2000-08,22161.88419304,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2000-09,22160.19507612,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2000-10,21964.282982,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2000-11,21844.5976938,YP,תצפית משוחררת לציבור ופנימית ( Public)
